ID,C.1,C.2,C.3,Male,Intervention,M,Outcome
89,2.293078974,1.547581059,-0.133150964,1,1,1,7.572727871
90,-1.756527396,-0.388779864,0.089207223,0,0,0,1.223035247
91,0.845013004,0.962527968,0.684309429,0,1,0,1.518157205
92,-1.39527435,0.849643046,-0.446557216,1,1,0,0.974788969
93,0.1748027,0.074551177,0.428166765,1,1,1,9.507975823
94,0.024674983,-1.667475098,0.736495965,0,0,0,1.499353654
95,0.386026568,-0.265651625,0.118144511,0,1,0,3.199952672
96,0.134038645,0.221019469,1.640846166,1,0,0,2.859334118
97,-0.219050379,0.168065384,1.168383873,1,0,0,0.838478867
98,1.054181023,1.14526311,-0.577468001,1,0,1,2.150763686
99,2.00248273,0.066700871,1.866851845,1,1,1,6.639443304
100,-1.350902686,0.020983586,1.249914571,0,1,0,1.922583897
101,-0.715242187,-0.752688968,-0.938538704,0,0,0,2.085556233
102,-1.052513279,-0.437159533,0.331179173,1,1,0,2.620468069
103,-2.014210498,0.211980433,1.236675046,0,0,0,-0.328659593
104,2.037574018,1.301175992,0.756774764,1,1,0,5.598465248
105,-1.726730399,-0.601506708,-0.352046457,0,0,0,-1.11580866
106,0.703523903,-0.105671334,-1.258648628,0,1,0,2.973853067
107,1.684435708,0.911391292,0.237430272,0,0,1,5.205671364
108,1.21810861,-1.338774287,0.660820298,1,0,0,-0.394112809
109,-0.522912376,0.683745522,-0.060821955,0,0,0,1.377282078
110,0.632960713,1.335517615,0.00729009,1,1,0,4.346977115
111,1.017558637,-1.188434035,-0.72160444,0,1,0,-0.467978092
112,1.519217711,0.377387973,-2.05222282,0,1,0,1.12334492
113,-1.364037452,-0.200781016,0.865779404,1,1,0,3.056429346
114,-0.101883256,0.624187472,0.959005378,0,1,0,1.643933902
115,1.671054829,0.056016733,-0.051981906,1,1,0,3.013278254
116,-1.753237359,0.099327594,-0.571850058,1,0,0,1.553195276
117,-0.974009583,-0.179906231,1.014943173,0,1,0,2.895933606
118,-1.992748489,-0.427279287,0.116637284,1,0,0,-1.947561418
119,-0.89320757,0.333902942,0.411429921,1,0,0,1.910545538
120,-0.033036159,-2.465898194,2.571458146,0,0,1,3.063865702
121,-0.205299257,0.651193282,0.273766491,1,0,1,3.517251149
122,1.024673235,0.817659446,-0.209793171,1,0,1,2.910908606
123,0.378167772,-0.945408831,0.856923011,0,1,0,3.709732026
124,-0.461038339,2.416773354,-1.651048896,0,1,0,-0.214631418
125,-0.463987243,0.825379863,0.510132547,1,0,1,4.889510249
126,-0.589481039,-0.996780742,0.144475705,1,1,1,7.172766171
127,-0.014307413,-1.790281237,0.034551067,1,0,0,1.85206981
128,0.190230316,0.174726397,-1.055017043,0,0,0,1.614529311
129,0.476133278,1.378570137,0.456236403,1,1,1,8.860758699
130,-1.13558847,-0.43564547,0.34610362,1,0,0,0.481091657
131,-0.647045631,-2.157646335,0.88425082,0,0,0,0.141338901
132,-0.829477612,-0.573560271,1.503900609,0,1,0,1.247932893
133,-0.77414493,0.84573154,-1.260682879,1,0,0,-0.135142181
134,-0.354542403,-0.073556019,-1.168651424,0,1,1,1.386384239
135,-0.634748265,-0.028841553,0.670695969,0,0,0,2.111592812
136,-1.650546543,-0.349754239,0.756406439,0,0,0,2.373685473
137,-0.53880916,0.227291922,0.49222857,1,0,0,2.354662962
138,0.267835015,0.653257679,-0.122708661,1,1,1,6.953658922
139,-0.413676514,-2.643148952,-0.092941018,0,0,0,0.614170688
140,0.430284696,0.535398841,-0.555278351,0,0,1,2.190259038
141,1.77950291,0.28642442,0.126315858,0,1,1,1.431173006
142,1.272266779,-0.718466221,-0.450338624,1,1,0,4.080543003
143,2.39745248,0.011129187,1.633568421,1,0,1,4.27955891
144,-1.438506645,-0.190516802,0.378423904,0,0,0,-0.340266778
145,0.300038545,-1.00563626,0.019259275,0,1,0,1.772035521
146,-1.077420653,0.712703325,1.08477509,1,0,0,0.653077923
147,-2.224987696,1.235693462,-1.241044497,0,0,0,0.357232348
148,0.454769269,0.659902638,-0.199889828,0,1,0,1.430835914
149,-0.645113957,0.165321021,0.438818701,0,1,0,1.246782308
150,0.88330282,-2.052336984,-1.636379268,0,1,0,2.065037039
151,1.430402341,1.046628847,0.435288949,0,0,0,2.153759835
152,0.715178407,0.917174918,-2.660922798,1,0,0,-0.105253104
153,1.110277097,-0.484987597,0.230616831,0,1,1,5.649428724
154,-0.295157801,0.871964954,-0.348472449,1,0,1,5.744028905
155,0.518503766,-0.390684979,-1.092787209,0,1,0,1.357136928
156,1.21001051,0.740900011,1.724262239,1,1,1,8.17927316
157,0.065153933,1.125002746,1.975419054,1,1,1,4.585187156
158,-0.281482115,-1.322951113,-0.239351567,0,1,0,1.045263132
159,-0.21404124,0.151680505,1.712304977,1,0,0,2.945362337
160,-0.326143893,0.373004656,-0.227684065,1,0,1,2.2963903
161,0.020450709,0.314057664,1.328214696,1,1,1,4.825619352
162,0.121318377,0.71284232,0.77886003,1,0,0,2.224913857
163,0.914773271,-0.574394552,1.626881214,0,1,0,2.769237622
164,-0.380956739,-0.105784168,1.404050268,1,0,0,1.367433797
165,1.294083906,-1.089991872,-0.873071,0,0,0,-0.905282261
166,-1.358079059,0.181847193,0.164840868,1,0,0,0.874125728
167,0.364114687,0.552157714,-0.601892846,0,1,0,1.717317858
168,-0.993698591,1.026785056,0.751061303,1,1,1,5.205372444
169,-1.509166537,-0.095147451,-0.895947823,0,0,0,0.501134896
170,-2.070751071,0.150120131,-0.079211709,0,1,1,-0.187247612
171,-0.097369268,0.216152542,0.882465164,0,0,0,1.228717723
172,0.205597504,-0.616435843,-0.734799252,0,0,0,-0.455384275
173,-0.131802793,0.310016987,-1.039680353,0,0,0,-0.168735393
174,-0.184308869,0.96726726,-0.108280091,0,0,0,0.125235603
175,-0.698420668,-0.275945168,1.114648545,1,0,0,0.432141243
176,0.550043961,1.2366758,0.139097857,1,1,0,5.367755001
177,0.410275096,-0.558456912,0.605370669,0,0,0,0.270701636
178,-0.506333542,-1.420565505,0.127992966,0,0,0,0.158689598
179,1.945851218,0.80091434,1.16525339,1,1,1,8.258927491
180,0.358855723,-0.608557178,-0.202240855,1,0,0,1.989322253
181,-0.273248107,-0.46869978,0.704167284,0,1,1,1.52484699
182,-1.197363502,0.866366132,0.864152486,0,0,0,0.292993244
183,-1.198622359,0.639491998,2.430226652,1,1,1,7.099774128
184,-0.557215482,0.844904241,-0.782201846,0,1,1,0.917704813
185,1.110711418,0.24982472,1.651915392,1,1,1,8.793637989
186,-1.458970729,-0.051297886,-0.526925176,0,0,0,-0.637488514
187,-0.197264869,-0.629578743,-0.833843581,0,1,0,0.300966978
188,0.578722375,-1.087580714,1.484030932,1,0,0,0.976915198
189,-1.186206585,0.101079151,0.532989287,1,1,0,1.719753373
190,0.586735339,-0.301746664,0.079501995,0,1,0,1.310160789
191,0.961264152,-1.456465917,-0.781739712,0,0,0,2.252702867
192,0.320402314,-0.444781978,1.370003994,0,1,0,3.113170422
193,0.673253863,0.072166752,-1.507757318,0,0,0,0.266760123
194,0.026100225,-0.316415868,-0.102346514,1,0,0,0.415242364
195,-1.181559227,0.498658044,-1.03895644,1,0,0,0.276754627
196,-0.226221981,0.381425829,-0.783515789,1,0,0,1.769615411
197,0.582991406,-1.316510402,-2.809774679,0,0,0,-2.354001515
198,0.464967991,0.840539827,-0.285845424,1,0,1,2.675703917
199,0.504126255,-1.155916525,-0.127148607,1,0,0,0.620283591
200,-1.941518376,1.181180891,1.859910862,1,1,1,6.701933585
201,1.07401226,-0.027346966,-0.033330342,1,1,1,5.420468552
202,-1.516067623,0.790385344,-0.210734181,0,0,0,0.584784496
203,-0.656742925,-1.412025793,-0.299762497,1,1,0,1.621323547
204,-0.849061135,-0.39703052,-1.217599988,0,0,0,0.433793928
205,1.687589483,-0.016002527,1.074945077,1,0,1,3.919241555
206,-2.60169967,-0.45319783,-0.675482292,0,0,0,0.212181445
207,-1.222926179,1.546609154,-1.41528192,0,0,0,1.216915135
208,0.31839026,0.846436286,0.178190188,0,1,1,3.996568904
209,-0.875255477,0.941165807,0.170588082,1,0,0,1.230484196
210,-1.063497906,-1.388049048,2.086717434,1,0,0,1.50667941
211,-0.678503145,-1.855571654,0.533259363,0,0,0,-0.114789436
212,0.310230256,-1.353834336,-1.942956414,0,0,0,-1.161091057
213,-0.116302517,1.139396292,0.636124035,0,0,0,1.590394167
214,-0.492937424,-0.834188232,0.271066757,1,1,0,1.970452917
215,0.157353347,0.629711747,-0.39579795,0,0,0,0.866656683
216,0.899354053,-0.830811527,-0.3305447,0,0,0,1.270956273
217,0.740814524,0.989971609,-1.938504701,1,1,0,5.045428439
218,0.107190407,0.608779012,-1.450824313,0,1,0,1.369352482
219,0.4806256,-0.82817427,1.020253012,0,1,0,2.826208238
220,0.538482032,0.769052295,0.120719329,1,1,1,3.471441262
221,0.863648434,1.380514528,1.966248015,0,0,0,4.292144926
222,-0.028395055,-2.24905109,0.031526005,0,0,0,1.091205897
223,0.205561208,-0.155345347,0.568288621,0,1,0,1.146592921
224,1.010677965,-0.51798243,-0.294095327,0,0,0,1.446579369
225,0.397842209,-0.550223741,0.091267383,1,0,0,0.94864162
226,-1.961707599,-1.119899721,-1.327755476,0,0,0,0.961267181
227,-0.853623697,-0.693304528,0.382305143,0,0,0,0.199836217
228,0.982113003,-0.727383529,-0.996838982,1,0,0,0.797949082
229,-1.041688859,-0.414588726,-0.239029068,0,0,0,-0.058618581
230,0.483617534,-0.321324842,-2.078489269,0,0,0,-0.280652873
231,-0.091434276,1.187186811,1.191601269,1,0,0,3.413607569
232,-0.788963218,-1.547776544,2.458060492,1,0,0,3.218932663
233,-0.162421942,-0.09745125,0.420574189,1,1,1,4.511146912
234,-1.614039457,-0.728219111,-1.540442405,0,0,0,0.205421628
235,-0.693094614,0.118849433,-1.364709458,1,0,0,1.502770377
236,0.589982679,0.289344029,-0.904215026,1,1,1,7.85614758
237,0.226324942,0.748081162,1.061095253,0,0,0,4.058672539
238,-0.212848279,-0.093636794,-0.086714135,1,0,0,2.962117763
239,1.441461756,1.125071892,0.834401568,1,0,0,1.754283227
240,-0.2873408,0.373241434,0.403290331,0,1,0,1.094493482
241,-1.041673294,-1.728304515,0.641830028,0,1,0,0.256059125
242,-1.529310531,0.001683688,0.250247821,0,0,0,0.350630807
243,0.56386739,0.189426238,-0.732853806,0,0,0,0.767886544
244,0.98636586,1.738633767,0.881178809,0,1,0,4.229246762
245,-1.943650901,1.399576185,-0.056055946,1,1,1,4.737447072
246,0.524914279,0.622033236,-0.096686073,0,0,0,0.532999769
247,-0.075263198,1.019157069,0.711601922,0,1,1,4.437299394
248,0.990262246,2.382926695,0.664415864,1,1,1,6.819577477
249,0.207381157,-2.210633111,2.691714003,1,0,1,3.973045404
250,-0.482676822,2.374734715,0.374643568,0,1,1,4.472901554
251,1.538430199,-0.109710321,0.511470755,1,0,1,3.516921683
252,0.21395798,-0.186120699,-0.120393825,0,0,0,1.087689941
253,1.012834336,-0.201458147,-2.037682494,1,1,0,4.398184736
254,-0.195889249,0.539790606,0.616455716,1,1,0,4.48375171
255,0.616567817,-1.692101521,0.368742058,1,0,0,1.91768808
256,0.96785921,1.276578681,-0.224961271,1,1,0,4.358597508
257,-0.321892586,1.487837832,-1.667928046,0,1,0,0.139218173
258,-0.436829977,0.457462079,-1.617773765,1,0,0,2.159512978
259,0.279627862,1.877864021,-0.004060653,0,0,1,3.204178788
260,-0.278454025,0.474911714,-0.279072171,0,0,0,-1.347726623
261,0.813400374,0.904435464,0.002691661,1,1,1,6.939489099
262,-1.176692158,-1.318220727,-0.592997366,0,1,0,0.275404783
263,0.797380501,-1.958205175,-1.886325159,0,0,0,-0.78952409
264,-0.653779825,0.394394848,-0.913566048,1,1,1,3.264496002
265,0.886749037,0.33336997,-0.170639618,1,0,0,0.301229571
266,0.818828137,0.388365163,-0.445935027,0,0,1,2.529530478
267,0.231114934,0.647513358,0.356283345,0,1,1,4.811779401
268,-0.658010208,0.855202205,1.152936226,1,0,0,3.312882202
269,0.276274557,0.144104662,-0.075625081,1,0,0,1.693545505
270,2.161415846,0.276315532,-0.158294029,1,1,0,5.903811725
271,-2.507917802,-1.565281765,-0.077673201,0,0,0,-0.314301245
272,0.206294045,0.276872459,0.82150678,1,0,1,0.338430448
273,-0.194152409,1.214588794,-0.921516043,0,0,0,2.047778474
274,-1.20844272,-1.228986178,0.742297024,0,0,0,1.270805835
275,-0.082919942,0.789817922,-0.267706422,0,1,0,0.896970618
276,-0.591892102,-0.368352575,-1.852616824,1,1,0,3.171901525
277,-1.16961526,-1.442034646,1.054322272,0,1,0,1.946539633
278,-0.597330091,0.789459853,1.516490602,1,1,1,8.119552427
279,-0.191774809,0.283878906,-1.751067519,1,0,0,0.898819259
280,-0.818669778,0.056214849,0.299086903,0,1,0,0.544887127
281,-0.759398117,2.684858999,-0.458390139,1,1,0,3.951103623
282,0.064243557,0.649791867,-0.026018635,1,1,0,4.423023079
283,-0.643567387,1.045305664,1.615545323,1,0,0,2.618875114
284,-0.029693971,0.562267345,-0.097412499,0,1,0,1.001190273
285,1.016455218,-1.156167394,2.320860224,0,0,0,1.759466272
286,-0.603531248,-1.458849414,-0.350917827,0,0,0,2.935975915
287,0.146708484,1.623621208,0.911209677,0,1,0,3.318167602
288,0.142458432,-1.389483524,-0.866037745,0,0,0,-0.37609842
289,-0.163284932,2.553026113,-1.860227574,0,0,0,2.049381898
290,1.131054652,-0.527234257,1.6659909,1,1,1,7.769231733
291,-1.13920064,0.143623235,-1.099550942,0,0,0,1.358304308
292,0.903516426,1.483779489,1.950721006,1,1,1,8.221807025
293,0.797600658,1.843266255,1.246423909,1,1,1,8.010795601
294,-0.131874912,0.477037238,-0.971994211,0,1,0,1.15044775
295,-0.185202169,1.220963708,0.541284143,1,1,1,4.565418932
296,0.457357332,-1.03813104,-0.60451323,0,1,0,0.324876052
297,-0.764606014,0.39529587,-0.99050763,1,0,0,1.240572272
298,0.56204139,-1.116416412,1.828530458,1,0,0,1.300130611
299,0.460591349,-0.701003612,0.241045933,1,0,0,1.371443124
300,-0.352453199,0.37114796,0.243532719,0,1,0,0.941259392
301,-1.014114173,-0.791313879,0.299593685,0,1,0,1.180269762
302,1.639051909,1.084617009,-0.624567474,1,1,0,3.167637939
303,0.825922902,-0.048568353,0.301313652,1,1,0,2.610239089
304,0.260361491,2.575449764,-1.185288811,1,1,0,6.061078671
305,0.100919859,-1.779977288,0.589835923,1,0,0,1.35431978
306,1.096608472,1.445662241,-1.925145252,1,0,0,0.940965315
307,0.412769497,1.593369951,-0.414015863,0,0,1,2.076051808
308,-0.212150532,-0.036537222,0.365018751,0,1,0,2.011130933
309,0.665159876,1.317820884,-0.09548759,1,1,1,7.411735489
310,0.196278045,2.487997877,0.431098928,1,1,1,8.088733958
311,0.188753109,-1.342243125,0.002856048,0,0,0,0.477984797
312,-0.221326153,-0.01104583,-0.575417641,1,1,1,6.517981691
313,-0.686815652,-0.720773632,-0.214504515,0,1,0,1.439478613
314,1.368132648,1.049086627,-0.359975118,0,1,0,1.801508336
315,-1.685916455,-0.844583429,-0.457760533,0,0,0,1.633617324
316,0.103638004,-0.662607276,2.006680691,1,1,0,1.598321257
317,-0.272267534,-1.21394447,-0.141261757,1,0,0,0.700778398
318,-1.005377582,0.156155707,0.233633614,0,0,0,0.653361332
319,0.355587612,-1.621858259,0.220711291,0,1,0,-0.108656513
320,0.310450081,-1.421108448,0.95536564,1,0,0,2.163134217
321,0.784170879,2.299619361,0.156702987,0,0,0,1.617196565
322,0.046733528,0.096585834,0.069766231,1,0,0,-0.137910603
323,-1.848472775,-1.671127059,-0.077538967,0,0,0,-0.396485316
324,-0.581067381,0.054736525,-2.111208373,0,0,0,-0.695105262
325,-1.498698255,-1.101483439,0.986058221,1,1,0,3.078159532
326,-1.098490007,-0.799513954,0.079873819,0,1,0,3.336358198
327,-0.322746362,0.146417179,2.305061982,1,1,1,3.602283305
328,-1.124603671,-0.30546964,-0.51675945,1,0,0,0.672444952
329,1.512395427,-0.769484923,-0.082086904,1,1,1,7.627499683
330,0.787133614,-1.058590536,1.655175816,1,1,1,10.21836837
331,0.675762415,-1.07420661,0.454577809,1,0,0,-1.116451606
332,-0.213307143,0.313228772,-0.089975197,1,1,0,3.288268354
333,1.070516037,-1.351100386,-0.522616697,1,1,1,5.817604029
334,-0.249190678,-0.995798725,-1.039955044,0,0,0,0.261446083
335,-0.017980241,-0.132175133,-2.549342775,1,0,0,0.320474646
336,1.040573456,0.249725736,2.416207373,1,0,0,1.298991258
337,0.685198238,-0.446959309,2.797391147,1,1,1,9.712943238
338,2.832226024,-1.218711816,0.469031956,1,1,1,7.922736816
339,-0.211246919,0.187051147,0.227542729,0,0,0,3.439055136
340,-1.261900463,0.28558958,1.749247363,0,1,0,2.196450477
341,-0.164090004,-0.162926711,1.398572006,1,1,1,6.174294897
342,0.898396241,-1.648494818,0.228556973,1,0,1,1.329888537
343,1.653547235,1.41527635,0.419951604,0,0,0,2.053152267
344,0.721220807,-1.196935212,0.300131567,0,0,0,0.382839543
345,-0.954448935,-0.458018068,0.935603684,0,0,0,1.247659809
346,-1.136893112,0.266918251,0.428332039,1,1,0,3.033818305
347,0.05491197,1.822188822,-1.022347329,1,1,1,7.812250961
348,0.606130261,-0.088930567,-0.260832244,0,1,0,1.12271267
349,0.464091234,-1.020400591,-1.313450917,1,0,0,1.138369959
350,-0.494480875,1.75175715,0.055764775,1,0,0,0.204284215
351,0.331434398,-0.189846638,0.470492732,0,0,0,1.477760257
352,-0.951679543,1.157910467,0.58470526,1,1,1,8.299194381
353,-0.806452823,0.054553246,0.716331619,1,1,1,7.112377353
354,0.557730982,1.481934016,-0.612987755,1,1,0,4.872632382
355,1.116136615,1.03654801,-0.162483132,1,1,1,9.872552266
356,-0.975926693,-1.089145191,0.457786958,0,0,0,2.574421447
357,-0.071126734,1.779102667,0.53513796,1,0,1,2.206670038
358,-0.371944875,-1.025542248,-0.582401675,0,0,0,1.103995247
359,0.342888393,-0.450934647,0.51423012,0,1,0,0.588614836
360,-0.334338052,-0.105559909,-0.730509673,0,1,1,2.628102321
361,1.905043585,0.332621731,0.23063364,1,1,0,4.293565286
362,-1.691862415,0.6597919,-1.023623589,0,0,0,0.817920402
363,-0.891521574,0.918341171,-0.452700647,1,1,1,2.845755488
364,-1.74837228,1.76990411,-2.377406925,1,1,0,3.07858823
365,0.57281153,1.017249249,-0.630967867,1,0,0,1.330279728
366,0.444287051,0.439130388,1.040623153,1,1,0,2.384308598
367,0.484099388,-0.244883779,0.915992058,0,1,1,2.381690914
368,0.800622357,-0.936569034,-1.400787434,0,1,0,0.932774186
369,0.16027754,-0.273962375,-0.985539113,0,1,0,2.591070065
370,0.08393068,-1.319996526,0.161226351,1,1,1,5.848934594
371,-0.624928388,0.957164274,2.424489141,0,1,0,5.275413659
372,-0.915979244,1.057664171,0.825149728,0,0,0,0.442878415
373,-0.070194224,-0.453646374,1.575307707,1,1,1,7.609758568
374,-2.005457818,-0.643194792,-1.436843444,1,0,0,-1.771686054
375,1.395313439,-0.190703433,-0.524671199,1,0,1,1.697578409
376,3.184044474,-0.050037268,-0.443749312,0,1,1,3.533333317
377,0.29986525,-1.568424621,0.490302643,0,0,0,1.331209564
378,-0.096163201,0.468525123,-0.982370636,1,1,0,2.674170127
379,-1.022983842,-0.693414663,-0.767989573,0,0,0,-0.022291366
380,1.299049967,1.579145562,-0.156891953,1,0,1,0.964929512
381,-0.358936561,-0.32903883,0.069236478,1,1,0,1.188821146
382,0.096904234,0.290034388,-0.746678941,0,0,0,0.689730854
383,-0.846896389,1.197077664,-0.548627361,0,0,0,2.577263281
384,0.303045695,-0.056970534,-0.957849392,0,1,0,1.878287925
385,0.591061909,0.173104873,1.399783356,1,0,0,1.380985912
386,0.117459585,-0.331545758,0.278294913,1,1,1,7.062804976
387,-1.185591649,-0.835894053,0.510273251,1,0,0,0.699231101
388,-0.333120901,-0.065960946,-0.115221709,0,0,0,0.942843762
389,-0.650512619,-2.018688659,0.34883497,0,0,0,2.018295206
390,0.761639508,-1.288716235,1.482402718,0,1,0,1.686904858
391,0.385154824,1.341640295,-0.957170471,0,0,1,3.967330583
392,0.166781288,-0.100013959,0.768507432,1,1,0,4.065499407
393,-0.575859568,-0.010097672,-1.778659149,0,0,0,-0.867010192
394,-0.777621443,0.125033884,-0.706321492,0,0,0,-0.224890537
395,-0.043569486,-0.467925974,0.606930136,1,1,1,7.421601791
396,1.168488309,-0.822501413,-0.307036559,0,0,0,1.435778688
397,1.439761258,-2.198923254,-0.319837792,0,0,0,1.898818522
398,2.064704284,2.193590069,0.156595323,1,1,1,7.721493387
399,-0.863608951,0.165457419,-0.652774396,0,1,0,2.351824401
400,1.452817282,-0.806482656,0.372911595,1,1,1,6.563354166
401,0.619850075,-0.757510161,0.851524682,1,1,0,0.963341897
402,-0.747929971,0.63023983,1.096661633,1,1,0,0.672891235
403,-0.988442922,1.107995041,-0.489532871,0,1,0,3.221320064
404,0.294353388,0.201837472,-0.427196386,1,1,1,4.120299745
405,0.26810287,-1.230430925,-0.136136872,0,0,0,0.623953885
406,0.825790832,-2.174124649,-1.487926187,0,0,0,0.072179596
407,-1.161937558,-1.589089694,0.419583039,1,0,0,2.264928681
408,-0.99292835,-2.164547085,-0.637568765,0,1,0,1.552547823
409,-0.390635251,0.856785474,-1.103752136,1,1,1,2.653688167
410,1.161289256,0.398362716,0.362352158,1,0,1,1.238756206
411,-0.85252567,1.95366788,-0.164270832,1,1,1,8.49478669
412,-1.824897584,-0.203856471,-1.934444071,0,0,0,0.674413764
413,-0.310510116,-0.422227003,0.68182969,0,1,0,0.677635768
414,1.009496186,-0.726104965,0.806108868,0,1,0,1.840071592
415,1.42432311,-0.784144005,-0.652404366,1,1,1,5.174035244
